Date,Time,Ping (ms),Jitter (ms),Download (Mbps),Upload (Mbps),loss,iptext,isp
12/09/25,19:00,4.45,1.18,596.22,387.37,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,19:05,4.13,0.25,593.34,619.75,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,19:10,4.37,0.21,604.33,612.92,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,19:15,3.99,0.29,585.82,629.07,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,19:20,4.31,0.36,567.31,640.92,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,19:25,4.12,0.14,593.21,645.23,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,19:30,4.9,0.43,555.42,636.97,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,19:35,4.19,1.47,723.62,639.11,0.6,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,19:40,4.02,104.66,537.45,684.48,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,19:45,4.31,0.2,560.05,670.55,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,19:50,4.54,0.89,592.8,685.71,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,19:55,4.1,0.45,519.59,655.12,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,20:00,4.16,0.2,574.42,368.34,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,20:05,4.69,1.47,438.89,643.86,2.3,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,20:10,4.33,0.4,846.3,640.67,1.6,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,20:15,4.49,0.59,874.94,627.76,1.6,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,20:20,4.21,0.25,616.29,614.98,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,20:25,4.14,0.15,570.61,640.93,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,20:30,4.43,0.4,575.36,624.61,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,20:35,4.33,0.19,563.51,630.98,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,20:40,4.93,0.67,230.62,580.07,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,20:45,4.53,0.44,280.92,588.99,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,20:50,4.64,0.27,846.2,623.87,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,20:55,5.69,0.22,381.51,612.64,0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,21:00,4.32,0.63,397.97,200.03,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,21:05,4.3,0.11,731.04,638.57,0.7,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,21:10,4.63,0.24,489.87,655.03,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,21:15,4.17,0.24,571.94,644.77,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,21:20,4.11,0.3,535.17,628.72,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,21:25,4.23,0.15,613.07,626.29,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,21:30,4.42,0.43,510.3,550.0,0.4,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,21:35,4.01,0.33,561.85,632.91,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,21:40,4.09,0.22,752.21,675.51,0.8,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,21:45,4.04,0.23,523.78,661.27,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,21:50,4.2,0.42,540.22,664.06,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,21:55,4.16,0.28,539.95,679.22,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,22:00,3.98,0.15,552.86,371.39,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,22:05,4.19,0.13,756.06,664.42,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,22:10,4.15,0.25,495.74,665.31,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,22:15,4.48,0.41,764.45,665.59,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,22:20,4.17,0.15,564.77,457.83,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,22:25,3.87,0.06,566.23,663.03,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,22:30,4.11,0.17,572.01,643.86,1.3,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,22:35,4.14,0.07,604.84,669.77,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,22:40,4.25,0.6,599.49,665.9,0.8,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,22:45,4.14,0.29,721.75,675.06,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,22:50,4.26,0.15,564.34,681.09,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,22:55,3.95,0.42,650.56,668.95,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,23:00,4.72,0.31,542.72,651.76,0.4,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,23:05,4.35,0.22,590.78,650.14,1.3,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,23:10,4.16,0.25,774.57,648.17,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,23:15,3.92,0.08,602.76,670.5,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,23:20,4.17,0.12,560.68,671.73,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,23:25,4.1,0.2,575.07,691.52,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,23:30,3.91,0.2,569.31,673.16,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,23:35,4.1,0.35,570.39,672.94,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,23:40,3.98,0.27,596.13,700.46,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
